bgp2 63 18:06:17 up 1 min, load average: 0.59, 0.25, 0.09Mem: 126476 29832 96644 0 2996 Routes: 2269 imported, 6 exported, 2269 preferred
bgp1 62 18:06:17 up 1 min, load average: 0.97, 0.41, 0.15Mem: 126476 30304 96172 0 2676 Routes: 2269 imported, 6 exported, 4538 preferred
bmx3 64 05:21:46 up 1 min, load average: 0.79, 0.34, 0.12Mem: 126476 29140 97336 0 2676
bgp2 64 18:06:18 up 1 min, load average: 0.59, 0.25, 0.09Mem: 126476 29932 96544 0 2996 Routes: 2269 imported, 6 exported, 2269 preferred
bgp1 63 18:06:18 up 1 min, load average: 0.97, 0.41, 0.15Mem: 126476 30224 96252 0 2676 Routes: 2269 imported, 6 exported, 4538 preferred
bmx3 65 05:21:47 up 1 min, load average: 0.79, 0.34, 0.12Mem: 126476 28860 97616 0 2676
bgp2 65 18:06:19 up 1 min, load average: 0.62, 0.27, 0.10Mem: 126476 29908 96568 0 2996 Routes: 2269 imported, 6 exported, 2269 preferred
bgp1 64 18:06:19 up 1 min, load average: 0.89, 0.40, 0.15Mem: 126476 30268 96208 0 2676 Routes: 2269 imported, 6 exported, 4538 preferred
bmx3 66 05:21:48 up 1 min, load average: 0.81, 0.35, 0.13Mem: 126476 28852 97624 0 2676
bgp2 66 18:06:20 up 1 min, load average: 0.62, 0.27, 0.10Mem: 126476 30020 96456 0 2996 Routes: 2269 imported, 6 exported, 2269 preferred
