bgp1 54 21:17:45 up 1 min, load average: 1.08, 0.36, 0.12Mem: 126476 26592 99884 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 54 21:17:45 up 1 min, load average: 0.40, 0.17, 0.06Mem: 126476 26976 99500 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 55 07:39:33 up 1 min, load average: 1.17, 0.42, 0.15Mem: 126476 25844 100632 0 2676
bgp1 55 21:17:46 up 1 min, load average: 1.08, 0.36, 0.12Mem: 126476 26536 99940 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 55 21:17:46 up 1 min, load average: 0.37, 0.17, 0.06Mem: 126476 27072 99404 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 56 07:39:34 up 1 min, load average: 1.07, 0.41, 0.15Mem: 126476 25960 100516 0 2676
bgp1 56 21:17:47 up 1 min, load average: 0.99, 0.35, 0.12Mem: 126476 26560 99916 0 2676 Routes: 0 imported, 0 exported, 0 preferred
bgp2 56 21:17:47 up 1 min, load average: 0.37, 0.17, 0.06Mem: 126476 27112 99364 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 57 07:39:35 up 1 min, load average: 1.07, 0.41, 0.15Mem: 126476 26092 100384 0 2676
bgp1 57 21:17:48 up 1 min, load average: 0.99, 0.35, 0.12Mem: 126476 26748 99728 0 2676 Routes: 445 imported, 6 exported, 890 preferred
bgp2 57 21:17:48 up 1 min, load average: 0.37, 0.17, 0.06Mem: 126476 27244 99232 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 58 07:39:36 up 1 min, load average: 1.07, 0.41, 0.15Mem: 126476 26252 100224 0 2676
bgp1 58 21:17:49 up 1 min, load average: 0.99, 0.35, 0.12Mem: 126476 28412 98064 0 2676 Routes: 2257 imported, 6 exported, 4514 preferred
bgp2 58 21:17:50 up 1 min, load average: 0.37, 0.17, 0.06Mem: 126476 27332 99144 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 59 07:39:37 up 1 min, load average: 1.07, 0.41, 0.15Mem: 126476 26292 100184 0 2676
bgp1 59 21:17:50 up 1 min, load average: 0.99, 0.35, 0.12Mem: 126476 28620 97856 0 2676 Routes: 2258 imported, 6 exported, 4516 preferred
bgp2 59 21:17:51 up 1 min, load average: 0.37, 0.17, 0.06Mem: 126476 27332 99144 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 60 07:39:38 up 1 min, load average: 1.07, 0.41, 0.15Mem: 126476 26320 100156 0 2676
bgp1 60 21:17:51 up 1 min, load average: 0.99, 0.35, 0.12Mem: 126476 28828 97648 0 2676 Routes: 2258 imported, 6 exported, 4516 preferred
bgp2 60 21:17:52 up 1 min, load average: 0.34, 0.17, 0.06Mem: 126476 27368 99108 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 61 07:39:39 up 1 min, load average: 1.07, 0.42, 0.15Mem: 126476 26388 100088 0 2676
bgp1 61 21:17:52 up 1 min, load average: 0.91, 0.34, 0.12Mem: 126476 28584 97892 0 2676 Routes: 2257 imported, 6 exported, 4514 preferred
bgp2 61 21:17:53 up 1 min, load average: 0.34, 0.17, 0.06Mem: 126476 30720 95756 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 62 07:39:41 up 1 min, load average: 1.07, 0.42, 0.15Mem: 126476 27164 99312 0 2676
bgp1 62 21:17:53 up 1 min, load average: 0.91, 0.34, 0.12Mem: 126476 28680 97796 0 2676 Routes: 2257 imported, 6 exported, 4514 preferred
bgp2 62 21:17:54 up 1 min, load average: 0.34, 0.17, 0.06Mem: 126476 29076 97400 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 63 07:39:42 up 1 min, load average: 1.07, 0.42, 0.15Mem: 126476 28496 97980 0 2676
bgp1 63 21:17:54 up 1 min, load average: 0.91, 0.34, 0.12Mem: 126476 28624 97852 0 2676 Routes: 2257 imported, 6 exported, 4514 preferred
bgp2 63 21:17:55 up 1 min, load average: 0.34, 0.17, 0.06Mem: 126476 29120 97356 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 64 07:39:43 up 1 min, load average: 1.07, 0.42, 0.15Mem: 126476 27820 98656 0 2676
bgp1 64 21:17:56 up 1 min, load average: 0.91, 0.34, 0.12Mem: 126476 28500 97976 0 2676 Routes: 2257 imported, 6 exported, 4514 preferred
bgp2 64 21:17:56 up 1 min, load average: 0.34, 0.17, 0.06Mem: 126476 29068 97408 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 65 07:39:44 up 1 min, load average: 1.07, 0.42, 0.15Mem: 126476 27796 98680 0 2676
bgp1 65 21:17:57 up 1 min, load average: 0.92, 0.35, 0.13Mem: 126476 28404 98072 0 2676 Routes: 2257 imported, 6 exported, 4514 preferred
bgp2 65 21:17:57 up 1 min, load average: 0.31, 0.17, 0.06Mem: 126476 28976 97500 0 2996 Routes: 0 imported, 0 exported, 0 preferred
bmx3 66 07:39:45 up 1 min, load average: 0.98, 0.42, 0.15Mem: 126476 28104 98372 0 2676
bgp1 66 21:17:58 up 1 min, load average: 0.92, 0.35, 0.13Mem: 126476 28432 98044 0 2676 Routes: 2257 imported, 6 exported, 4514 preferred
